,symbol,organ_name,en_organ_name,icb_name3,en_icb_name3,icb_name2,en_icb_name2,icb_name4,en_icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
851,PNC,Công ty Cổ phần Văn hóa Phương Nam,Phuong Nam Cultural Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
852,PND,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,PetroVietnam Oil Nam Dinh Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Phân phối xăng dầu & khí đốt,Gas Distribution,CT,7000,7500,7570,7573
853,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Phu Nhuan Jewelry Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Hàng cá nhân,Personal Products,CT,3000,3700,3760,3767
854,PNP,Công ty Cổ phần Tân Cảng – Phú Hữu,Huu Phu - Newport Corporation,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Vận tải Thủy,Marine Transportation,CT,2000,2700,2770,2773
855,PNT,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Phu Nhuan Technical Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
856,POT,Công ty Cổ phần Thiết bị Bưu điện,Post and Telecommunication Equipment Joint Stock Company,Thiết bị và Phần cứng,Technology Hardware & Equipment,Công nghệ Thông tin,Technology,Phần cứng,Computer Hardware,CT,9000,9500,9570,9572
857,L61,Công ty Cổ phần Lilama 69-1,Lilama 69-1 Joint Stock Company,Công nghiệp nặng,Industrial Engineering,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Máy công nghiệp,Industrial Machinery,CT,2000,2700,2750,2757
858,POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Vung Ang Petroleum Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Phân phối xăng dầu & khí đốt,Gas Distribution,CT,7000,7500,7570,7573
859,PPE,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,PP Enterprise Investment Consultancy Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Tư vấn & Hỗ trợ KD,Business Support Services,CT,2000,2700,2790,2791
860,PMS,Công ty Cổ phần Cơ khí Xăng dầu,Petroleum Mechanical Joint Stock Company,Công nghiệp nặng,Industrial Engineering,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Máy công nghiệp,Industrial Machinery,CT,2000,2700,2750,2757
861,PPI,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,Pacific Infrastructure Project Development And Investment Corporation,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
862,PPP,Công ty Cổ phần Dược phẩm Phong Phú,Phong Phu Pharmaceutical Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
863,LAW,Công ty Cổ phần Cấp thoát nước Long An,Long An Water Supply Sewerage Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
864,PRC,Công ty Cổ phần Logistics Portserco,Portserco Logistics Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Dịch vụ vận tải,Trucking,CT,2000,2700,2770,2779
865,PRO,Công ty Cổ phần Procimex Việt Nam,Viet Nam  Procimex Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
866,PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,PetroVietnam Power Services Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Tư vấn & Hỗ trợ KD,Business Support Services,CT,2000,2700,2790,2791
867,PSC,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Petrolimex Saigon Transportation And Service Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Dịch vụ vận tải,Trucking,CT,2000,2700,2770,2779
868,BT1,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Central Plant Protection Joint Stock Company No.1,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
869,PSE,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,South-East PetroVietnam Fertilizer and Chemicals Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
