,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
54,VSF,8425762,STOCK,UPCOM,Vietnam Southern Food Corporation - Joint Stock Company,Vinafood 2,Vinafood 2,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần
55,VSE,8425269,STOCK,UPCOM,Vietnam Expressway Services Joint Stock Company,Vietnam Expressway Services,DV Đường cao tốc Việt Nam,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam
56,VSC,8424998,STOCK,HSX,Viet Nam Container Shipping Joint Stock Company,Vietnam Container Shipping,VICONSHIP,Công ty Cổ phần Container Việt Nam
57,VSA,8425912,STOCK,HNX,Vietnam Ocean Shipping Agency Corporation,Vietnam Ocean Shipping Agency,Đại lý Hàng hải VN,Công ty Cổ phần Đại lý Hàng hải Việt Nam
58,VRG,8425185,STOCK,UPCOM,Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company,VINARUCO,PT Đô thị và KCN Cao su VN,Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao Su Việt Nam
59,VRE12007,11410433,BOND,BOND,VRE12007 - Bond,VRE12007 - Bond,VRE12007 - Trái phiếu,VRE12007 - Trái phiếu
60,VRE,8424741,STOCK,HSX,Vincom Retail Joint Stock Company,Vincom Retail,Vincom Retail,Công ty Cổ phần Vincom Retail
61,VRC,8425028,STOCK,HSX,VRC Real Estate and Investment Joint Stock Company,VRC Real Estate and Investment,Bất động sản và Đầu tư VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC
62,VQC,8425718,STOCK,UPCOM,VINACOMIN QUACONTROL Joint-stock Company,VINACOMIN QUACONTROL,Giám định Vinaconmin,Công ty Cổ phần Giám định Vinaconmin
63,VPW,8425723,STOCK,UPCOM,Vinhphuc No1 Water Supply and Drainage Joint Stock Company,Vinhphuc No1 Water Supply and Drainage,Cấp thoát nước số 1 Vĩnh Phúc,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc
64,VPS,8424929,STOCK,HSX,Vietnam Pesticide Joint Stock Company,Vietnam Pesticide,Thuốc sát trùng Việt Nam,Công ty Cổ phần Thuốc sát trùng Việt Nam
65,VPR,8425695,STOCK,UPCOM,VINAPRINT Corporation,VINAPRINT,VINAPRINT,Công ty Cổ phần VINAPRINT
66,VPI124001,13765953,BOND,BOND,VPI124001 - Bond,VPI124001 - Bond,VPI124001 - Trái phiếu,VPI124001 - Trái phiếu
